sample_index,t_seconds,raw,voltage_v,current_a
158,0.007082,0,0.000000,-13.513514
159,0.007124,0,0.000000,-13.513514
160,0.007167,0,0.000000,-13.513514
161,0.007210,0,0.000000,-13.513514
162,0.007253,0,0.000000,-13.513514
163,0.007295,0,0.000000,-13.513514
164,0.007339,0,0.000000,-13.513514
165,0.007390,0,0.000000,-13.513514
166,0.007432,0,0.000000,-13.513514
167,0.007475,0,0.000000,-13.513514
168,0.007517,0,0.000000,-13.513514
169,0.007560,0,0.000000,-13.513514
170,0.007602,0,0.000000,-13.513514
171,0.007645,0,0.000000,-13.513514
172,0.007693,0,0.000000,-13.513514
173,0.007736,0,0.000000,-13.513514
174,0.007778,0,0.000000,-13.513514
175,0.007821,0,0.000000,-13.513514
176,0.007864,0,0.000000,-13.513514
177,0.007941,0,0.000000,-13.513514
178,0.007985,0,0.000000,-13.513514
179,0.008028,0,0.000000,-13.513514
180,0.008071,0,0.000000,-13.513514
181,0.008121,0,0.000000,-13.513514
182,0.008164,0,0.000000,-13.513514
183,0.008207,0,0.000000,-13.513514
184,0.008250,0,0.000000,-13.513514
185,0.008293,0,0.000000,-13.513514
186,0.008335,0,0.000000,-13.513514
187,0.008378,0,0.000000,-13.513514
188,0.008421,0,0.000000,-13.513514
189,0.008463,0,0.000000,-13.513514
190,0.008506,0,0.000000,-13.513514
191,0.008548,0,0.000000,-13.513514
192,0.008591,0,0.000000,-13.513514
193,0.008633,0,0.000000,-13.513514
194,0.008676,0,0.000000,-13.513514
195,0.008719,0,0.000000,-13.513514
196,0.008761,0,0.000000,-13.513514
197,0.008804,0,0.000000,-13.513514
198,0.008855,0,0.000000,-13.513514
199,0.008898,0,0.000000,-13.513514
200,0.008943,0,0.000000,-13.513514
201,0.008985,0,0.000000,-13.513514
202,0.009028,0,0.000000,-13.513514
203,0.009070,0,0.000000,-13.513514
204,0.009121,0,0.000000,-13.513514
205,0.009164,0,0.000000,-13.513514
206,0.009207,0,0.000000,-13.513514
207,0.009249,0,0.000000,-13.513514
208,0.009292,0,0.000000,-13.513514
209,0.009334,0,0.000000,-13.513514
210,0.009377,0,0.000000,-13.513514
211,0.009420,0,0.000000,-13.513514
212,0.009463,0,0.000000,-13.513514
213,0.009505,0,0.000000,-13.513514
214,0.009548,0,0.000000,-13.513514
215,0.009590,0,0.000000,-13.513514
216,0.009633,0,0.000000,-13.513514
217,0.009675,0,0.000000,-13.513514
218,0.009718,0,0.000000,-13.513514
219,0.009760,0,0.000000,-13.513514
220,0.009803,0,0.000000,-13.513514
221,0.009845,0,0.000000,-13.513514
222,0.009888,0,0.000000,-13.513514
223,0.009931,0,0.000000,-13.513514
224,0.009974,0,0.000000,-13.513514
225,0.010016,0,0.000000,-13.513514
226,0.010059,0,0.000000,-13.513514
227,0.010103,0,0.000000,-13.513514
228,0.010145,0,0.000000,-13.513514
229,0.010188,0,0.000000,-13.513514
230,0.010319,0,0.000000,-13.513514
231,0.010364,0,0.000000,-13.513514
232,0.010408,0,0.000000,-13.513514
233,0.010452,0,0.000000,-13.513514
234,0.010495,0,0.000000,-13.513514
235,0.010538,0,0.000000,-13.513514
236,0.010588,0,0.000000,-13.513514
237,0.010631,0,0.000000,-13.513514
238,0.010674,0,0.000000,-13.513514
239,0.010717,0,0.000000,-13.513514
240,0.010759,0,0.000000,-13.513514
241,0.010802,0,0.000000,-13.513514
242,0.010844,0,0.000000,-13.513514
243,0.010887,0,0.000000,-13.513514
244,0.010930,0,0.000000,-13.513514
245,0.010973,0,0.000000,-13.513514
246,0.011016,0,0.000000,-13.513514
247,0.011060,0,0.000000,-13.513514
248,0.011103,0,0.000000,-13.513514
249,0.011145,0,0.000000,-13.513514
250,0.011188,0,0.000000,-13.513514
251,0.011231,0,0.000000,-13.513514
252,0.011274,0,0.000000,-13.513514
253,0.011316,0,0.000000,-13.513514
254,0.011359,0,0.000000,-13.513514
255,0.011402,0,0.000000,-13.513514
256,0.011445,0,0.000000,-13.513514
257,0.011488,0,0.000000,-13.513514
258,0.011532,0,0.000000,-13.513514
259,0.011575,0,0.000000,-13.513514
260,0.011618,0,0.000000,-13.513514
261,0.011661,0,0.000000,-13.513514
262,0.011704,0,0.000000,-13.513514
263,0.011747,0,0.000000,-13.513514
264,0.011790,0,0.000000,-13.513514
265,0.011833,0,0.000000,-13.513514
266,0.011901,0,0.000000,-13.513514
267,0.011948,0,0.000000,-13.513514
268,0.011991,0,0.000000,-13.513514
269,0.012034,0,0.000000,-13.513514
270,0.012076,0,0.000000,-13.513514
271,0.012119,0,0.000000,-13.513514
272,0.012162,0,0.000000,-13.513514
273,0.012204,0,0.000000,-13.513514
274,0.012255,0,0.000000,-13.513514
275,0.012298,0,0.000000,-13.513514
276,0.012341,0,0.000000,-13.513514
277,0.012383,0,0.000000,-13.513514
278,0.012425,0,0.000000,-13.513514
279,0.012468,0,0.000000,-13.513514
280,0.012511,0,0.000000,-13.513514
281,0.012553,0,0.000000,-13.513514
282,0.012596,0,0.000000,-13.513514
283,0.012639,0,0.000000,-13.513514
284,0.012681,0,0.000000,-13.513514
285,0.012724,0,0.000000,-13.513514
286,0.012766,0,0.000000,-13.513514
287,0.012809,0,0.000000,-13.513514
288,0.012851,0,0.000000,-13.513514
289,0.012894,0,0.000000,-13.513514
290,0.012937,0,0.000000,-13.513514
291,0.012987,0,0.000000,-13.513514
292,0.013030,0,0.000000,-13.513514
293,0.013073,0,0.000000,-13.513514
294,0.013116,0,0.000000,-13.513514
295,0.013159,0,0.000000,-13.513514
296,0.013202,0,0.000000,-13.513514
297,0.013244,0,0.000000,-13.513514
298,0.013287,0,0.000000,-13.513514
299,0.013329,0,0.000000,-13.513514
300,0.013371,0,0.000000,-13.513514
301,0.013414,0,0.000000,-13.513514
302,0.013456,0,0.000000,-13.513514
303,0.013498,0,0.000000,-13.513514
304,0.013541,0,0.000000,-13.513514
305,0.013583,0,0.000000,-13.513514
306,0.013626,0,0.000000,-13.513514
307,0.013670,0,0.000000,-13.513514
308,0.013721,0,0.000000,-13.513514
309,0.013764,0,0.000000,-13.513514
310,0.013807,0,0.000000,-13.513514
311,0.013849,0,0.000000,-13.513514
312,0.013892,0,0.000000,-13.513514
313,0.013934,0,0.000000,-13.513514
314,0.013977,0,0.000000,-13.513514
315,0.014019,0,0.000000,-13.513514
316,0.014062,0,0.000000,-13.513514
317,0.014105,0,0.000000,-13.513514
318,0.014147,0,0.000000,-13.513514
319,0.014190,0,0.000000,-13.513514
320,0.014233,0,0.000000,-13.513514
321,0.014275,0,0.000000,-13.513514
322,0.014318,0,0.000000,-13.513514
323,0.014361,0,0.000000,-13.513514
324,0.014403,0,0.000000,-13.513514
325,0.014454,0,0.000000,-13.513514
326,0.014497,0,0.000000,-13.513514
327,0.014540,0,0.000000,-13.513514
328,0.014582,0,0.000000,-13.513514
329,0.014625,0,0.000000,-13.513514
330,0.014667,0,0.000000,-13.513514
331,0.014710,0,0.000000,-13.513514
332,0.014752,0,0.000000,-13.513514
333,0.014794,0,0.000000,-13.513514
334,0.014837,0,0.000000,-13.513514
335,0.014879,0,0.000000,-13.513514
336,0.014922,0,0.000000,-13.513514
337,0.014964,0,0.000000,-13.513514
338,0.015007,0,0.000000,-13.513514
339,0.015050,0,0.000000,-13.513514
340,0.015093,0,0.000000,-13.513514
341,0.015135,0,0.000000,-13.513514
342,0.015178,0,0.000000,-13.513514
343,0.015220,0,0.000000,-13.513514
344,0.015263,0,0.000000,-13.513514
345,0.015305,0,0.000000,-13.513514
346,0.015347,0,0.000000,-13.513514
347,0.015390,0,0.000000,-13.513514
348,0.015433,0,0.000000,-13.513514
349,0.015475,0,0.000000,-13.513514
350,0.015518,0,0.000000,-13.513514
351,0.015561,0,0.000000,-13.513514
352,0.015603,0,0.000000,-13.513514
353,0.015654,0,0.000000,-13.513514
354,0.015697,0,0.000000,-13.513514
355,0.015739,0,0.000000,-13.513514
356,0.015782,0,0.000000,-13.513514
357,0.015825,0,0.000000,-13.513514
358,0.015868,0,0.000000,-13.513514
359,0.015945,0,0.000000,-13.513514
360,0.015989,0,0.000000,-13.513514
361,0.016031,0,0.000000,-13.513514
362,0.016074,0,0.000000,-13.513514
363,0.016116,0,0.000000,-13.513514
364,0.016159,0,0.000000,-13.513514
365,0.016202,0,0.000000,-13.513514
366,0.016244,0,0.000000,-13.513514
367,0.016286,0,0.000000,-13.513514
368,0.016329,0,0.000000,-13.513514
369,0.016372,0,0.000000,-13.513514
370,0.016414,0,0.000000,-13.513514
371,0.016456,0,0.000000,-13.513514
